TR,K x,K y,time
6,-0.00505090302092434,-0.00813163932738348,0.000369230769230769
6,-0.00203177162347265,-0.00437246499462371,0.000384615384615385
7,0,0,0
7,-0.000279481759924603,0.00481336015741891,1.53846153846154e-05
7,-0.0017027547713712,0.00941996845355677,3.07692307692308e-05
7,-0.00418710358030141,0.0135521055585819,4.61538461538462e-05
7,-0.00758814686418072,0.0169696266836575,6.15384615384615e-05
7,-0.0117082283496394,0.019473917923178,7.69230769230769e-05
7,-0.0163079038766294,0.0209194389730307,9.23076923076923e-05
7,-0.0211198570226624,0.0212221814040536,0.000107692307692308
7,-0.0258644345616289,0.0203645509265793,0.000123076923076923
7,-0.0302658988928019,0.018396389906599,0.000138461538461538
7,-0.0340684529079255,0.0154320807086194,0.000153846153846154
7,-0.0370511059893621,0.0116438982084018,0.000169230769230769
7,-0.0390405171815215,0.00725199780337563,0.000184615384615385
7,-0.0399210691371309,0.00251162078117254,0.0002
7,-0.0396415873772063,-0.00230173937624637,0.000215384615384615
7,-0.0382183143657597,-0.00690834767238423,0.000230769230769231
7,-0.0357339655568294,-0.0110404847774093,0.000246153846153846
7,-0.0323329222729501,-0.0144580059024849,0.000261538461538462
7,-0.0282128407874915,-0.0169622971420054,0.000276923076923077
7,-0.0236131652605015,-0.0184078181918582,0.000292307692307692
7,-0.0188012121144685,-0.018710560622881,0.000307692307692308
7,-0.0140566345755019,-0.0178529301454068,0.000323076923076923
7,-0.00965517024432895,-0.0158847691254264,0.000338461538461538
7,-0.00585261622920538,-0.0129204599274469,0.000353846153846154
7,-0.00286996314776876,-0.00913227742722929,0.000369230769230769
7,-0.000880551955609345,-0.00474037702220308,0.000384615384615385
8,-0,0,0
8,-0.00146773532093788,0.00459263530958313,1.53846153846154e-05
8,-0.0039919104908931,0.00870056493051627,3.07692307692308e-05
8,-0.00742582962399129,0.0120850509249474,4.61538461538462e-05
8,-0.011569925822005,0.0145493992689863,6.15384615384615e-05
8,-0.0161833592770823,0.015950390994419,7.69230769230769e-05
8,-0.0209980140059626,0.0162066055545613,9.23076923076923e-05
8,-0.0257340797763612,0.0153031526904797,0.000107692307692308
8,-0.0301163136606011,0.0132925377987169,0.000123076923076923
8,-0.0338900361541024,0.0102916105084946,0.000138461538461538
8,-0.0368359322224659,0.00647477380599361,0.000153846153846154
8,-0.0387827970940948,0.00206384836672629,0.000169230769230769
8,-0.039617486059216,-0.00268481885583872,0.000184615384615385
8,-0.0392914900291475,-0.00749525258342899,0.0002
8,-0.0378237547082097,-0.0120878878930121,0.000215384615384615
8,-0.0352995795382544,-0.0161958175139453,0.000230769230769231
8,-0.0318656604051563,-0.0195803035083764,0.000246153846153846
8,-0.0277215642071426,-0.0220446518524153,0.000261538461538462
8,-0.0231081307520652,-0.023445643577848,0.000276923076923077
8,-0.0182934760231849,-0.0237018581379903,0.000292307692307692
8,-0.0135574102527863,-0.0227984052739087,0.000307692307692308
8,-0.00917517636854642,-0.0207877903821459,0.000323076923076923
8,-0.00540145387504516,-0.0177868630919236,0.000338461538461538
8,-0.00245555780668167,-0.0139700263894226,0.000353846153846154
8,-0.000508692935052735,-0.00955910095015529,0.000369230769230769
8,0.000325996030068459,-0.00481043372759027,0.000384615384615385
9,-0,0,0
9,-0.00256376567378372,0.00408333829471508,1.53846153846154e-05
9,-0.00603023979305237,0.00743447291445196,3.07692307692308e-05
9,-0.0101979634821148,0.00985864809599023,4.61538461538462e-05
9,-0.014824723789222,0.0112149795892972,6.15384615384615e-05
9,-0.0196416302229142,0.0114246423380461,7.69230769230769e-05
9,-0.0243687416900077,0.0104754515053729,9.23076923076923e-05
9,-0.0287313356543863,0.00842257061230426,0.000107692307692308
9,-0.0324758740122239,0.00538530563442681,0.000123076923076923
9,-0.0353847378050063,0.00154017137224581,0.000138461538461538
9,-0.0372888744423865,-0.00288936694741512,0.000153846153846154
9,-0.0380776224242552,-0.00764588065813398,0.000169230769230769
9,-0.0377051425848883,-0.0124529384722677,0.000184615384615385
9,-0.0361930820986408,-0.0170311716626029,0.0002
9,-0.0336293164248571,-0.021114509957318,0.000215384615384615
9,-0.0301628423055884,-0.0244656445770549,0.000230769230769231
9,-0.025995118616526,-0.0268898197585931,0.000246153846153846
9,-0.0213683583094188,-0.0282461512519001,0.000261538461538462
9,-0.0165514518757266,-0.028455814000649,0.000276923076923077
9,-0.0118243404086331,-0.0275066231679759,0.000292307692307692
9,-0.00746174644425454,-0.0254537422749072,0.000307692307692308
9,-0.00371720808641688,-0.0224164772970297,0.000323076923076923
9,-0.000808344293634525,-0.0185713430348487,0.000338461538461538
9,0.00109579234374573,-0.0141418047151878,0.000353846153846154
9,0.00188454032561439,-0.00938529100446894,0.000369230769230769
9,0.00151206048624753,-0.00457823319033525,0.000384615384615385
10,-0,0,0
10,-0.00349870520047513,0.00331747011732233,1.53846153846154e-05
10,-0.00768966695134355,0.00570124562309385,3.07692307692308e-05
10,-0.0123293217891709,0.00701279014959054,4.61538461538462e-05
10,-0.0171480298392419,0.00717588149620278,6.15384615384615e-05
10,-0.0218657453049774,0.0061810413866784,7.69230769230769e-05
10,-0.0262082917117069,0.0040860863120863,9.23076923076923e-05
10,-0.0299232960467852,0.00101276744650989,0.000107692307692308
10,-0.0327948557617488,-0.00286030508864305,0.000123076923076923
10,-0.0346560862436591,-0.00730804239567531,0.000138461538461538
10,-0.0353988195422048,-0.0120719581491695,0.000153846153846154
10,-0.0349798906978002,-0.0168751908816616,0.000169230769230769
10,-0.0334236463321378,-0.02143859416578,0.000184615384615385
10,-0.0308205297110316,-0.0254969595899476,0.0002
10,-0.0273218245105564,-0.0288144297072699,0.000215384615384615
10,-0.023130862759688,-0.0311982052130414,0.000230769230769231
10,-0.0184912079218606,-0.0325097497395381,0.000246153846153846
10,-0.0136724998717897,-0.0326728410861504,0.000261538461538462
10,-0.0089547844060542,-0.031678000976626,0.000276923076923077
10,-0.00461223799932472,-0.0295830459020339,0.000292307692307692
10,-0.000897233664246423,-0.0265097270364575,0.000307692307692308
10,0.00197432605071727,-0.0226366545013045,0.000323076923076923
10,0.00383555653262752,-0.0181889171942723,0.000338461538461538
10,0.00457828983117325,-0.0134250014407781,0.000353846153846154
10,0.00415936098676867,-0.00862176870828596,0.000369230769230769
10,0.00260311662110619,-0.0040583654241676,0.000384615384615385
11,-0,0,0
11,-0.00421380821208305,0.00234315309165658,1.53846153846154e-05
11,-0.00886592405446504,0.00360978810152207,3.07692307692308e-05
11,-0.0136859834641398,0.00372629280685403,4.61538461538462e-05
11,-0.01839386210842,0.00268589637765592,6.15384615384615e-05
11,-0.0227159551929429,0.000549062872705593,7.69230769230769e-05
11,-0.0264010783778049,-0.002560022711763,9.23076923076923e-05
11,-0.0292350656983798,-0.00646067162264682,0.000107692307692308
11,-0.0310532161127205,-0.0109261923235272,0.000123076923076923
11,-0.0317498653274533,-0.0156970649827763,0.000138461538461538
11,-0.0312845266224349,-0.0204960238228551,0.000153846153846154
11,-0.0296842437917635,-0.0250441707994838,0.000169230769230769
11,-0.0270420194567664,-0.0290771841422224,0.000184615384615385
11,-0.0235114100916989,-0.0323606797749979,0.0002
11,-0.0192976018796159,-0.0347038328666545,0.000215384615384615
11,-0.0146454860372339,-0.03597046787652,0.000230769230769231
11,-0.00982542662755917,-0.0360869725818519,0.000246153846153846
11,-0.0051175479832789,-0.0350465761526538,0.000261538461538462
11,-0.000795454898756071,-0.0329097426477035,0.000276923076923077
11,0.002889668286106,-0.0298006570632349,0.000292307692307692
11,0.00572365560668088,-0.0259000081523511,0.000307692307692308
11,0.00754180602102156,-0.0214344874514707,0.000323076923076923
11,0.00823845523575439,-0.0166636147922216,0.000338461538461538
11,0.00777311653073598,-0.0118646559521428,0.000353846153846154
11,0.00617283370006462,-0.00731650897551413,0.000369230769230769
11,0.0035306093650675,-0.00328349563277554,0.000384615384615385
12,-0,0,0
12,-0.00466414215642324,0.00122160713972778,1.53846153846154e-05
12,-0.00948510254265667,0.00129151431765969,3.07692307692308e-05
12,-0.0141827044645304,0.000205658782716568,4.61538461538462e-05
12,-0.0184839403734334,-0.00197285348833497,6.15384615384615e-05
12,-0.0221388380726965,-0.00511741528087131,7.69230769230769e-05
12,-0.0249349881930513,-0.00904527609352729,9.23076923076923e-05
12,-0.0267098886530947,-0.0135281629330645,0.000107692307692308
12,-0.0273603886895899,-0.0183055467109997,0.000123076923076923
12,-0.026848683604887,-0.0230997832472427,0.000138461538461538
12,-0.0252045118385368,-0.0276322489406479,0.000153846153846154
12,-0.0225234266772783,-0.0316395333599571,0.000169230769230769
12,-0.0189612430453358,-0.0348887477006061,0.000184615384615385
12,-0.0147249821073871,-0.0371910594355301,0.0002
12,-0.0100608399509639,-0.0384126665752578,0.000215384615384615
12,-0.00523987956473045,-0.0384825737531897,0.000230769230769231
12,-0.000542277642856727,-0.0373967182182466,0.000246153846153846
12,0.00375895826604624,-0.0352182059471951,0.000261538461538462
12,0.00741385596530938,-0.0320736441546587,0.000276923076923077
12,0.0102100060856641,-0.0281457833420028,0.000292307692307692
12,0.0119849065457076,-0.0236628965024656,0.000307692307692308
12,0.0126354065822027,-0.0188855127245304,0.000323076923076923
12,0.0121237014974999,-0.0140912761882873,0.000338461538461538
12,0.0104795297311497,-0.00955881049488214,0.000353846153846154
12,0.00779844456989119,-0.005551526075573,0.000369230769230769
12,0.00423626093794867,-0.00230231173492397,0.000384615384615385
13,-0,0,0
13,-0.00482141089556042,2.33031184531043e-05,1.53846153846154e-05
13,-0.0095082971543262,-0.00110791006063865,3.07692307692308e-05
13,-0.0137882739830763,-0.00332789753909907,4.61538461538462e-05
13,-0.0174126046856064,-0.00650764171400618,6.15384615384615e-05
13,-0.0201706563353917,-0.0104623474118142,7.69230769230769e-05
13,-0.0219021409956564,-0.0149621815121368,9.23076923076923e-05
13,-0.0225064310716367,-0.0197456300132947,0.000107692307692308
13,-0.0219484074206215,-0.0245346962755285,0.000123076923076923
13,-0.0202605003488745,-0.0290510571752248,0.000138461538461538
13,-0.0175408048801131,-0.033032238233197,0.000153846153846154
13,-0.0139473798292908,-0.0362468676773602,0.000169230769230769
13,-0.00968906199879281,-0.0385081229291222,0.000184615384615385
13,-0.00501332934257218,-0.0396845880525791,0.0002
